a2a-adapter|2026-04-12T15:24:42Z|2026-05-09T12:13:51Z|I2I ↔ Google A2A protocol bridge — git-native agents join the A2A ecosystem|Python|false|false
a2a-protocol|2026-04-10T07:17:55Z|2026-05-08T04:25:16Z|Agent-to-Agent protocol — discovery, negotiation, coordination. Part of the Lucineer Cocapn fleet.|TypeScript|true|false
ability-transfer|2026-04-11T23:35:06Z|2026-05-08T04:37:32Z|🏗️ Simulation lab — designing modular ability transfer between AI agents through git repos|C|false|false
aboracle|2026-05-04T16:46:48Z|2026-05-08T00:01:19Z|Able-Bodied Oracle System — standardized, scalable, autonomous work system for Oracle1|Python|false|false
abstraction-planes|2026-04-13T21:06:36Z|2026-05-08T04:27:19Z|The Middle Way — decompose ideas to their optimal abstraction plane, not all the way to bytecode|Python|false|false
acg_protocol|2026-05-14T16:47:45Z|2026-05-15T17:34:56Z|The Audited Context Generation (ACG) Protocol prevents AI hallucinations with a dual-layer system. The UGVP layer links every fact to a precise source for verification. The RSVP layer audits the AI's logical reasoning when combining facts. This creates a fully transparent, machine-auditable trail for both source and logical integrity.|Python|true|false
activeledger-agent|2026-05-03T01:53:56Z|2026-05-04T21:04:30Z|activeledger domain agent for PLATO fleet|Python|false|false
activeledger-ai-pages|2026-05-03T00:57:14Z|2026-05-05T04:55:18Z|GitHub Pages for activeledger.ai|HTML|false|false
activelog|2025-08-23T20:02:34Z|2026-04-14T10:28:56Z|complete system|N/A|false|false
activelog-agent|2026-05-03T01:29:33Z|2026-05-08T04:25:58Z|Vision/Fitness Turbo-Shell for cocapn domain|Python|false|false
activelog-ai-pages|2026-05-03T00:57:17Z|2026-05-05T04:55:19Z|GitHub Pages for activelog.ai|HTML|false|false
activelog-backend|2026-01-10T05:38:09Z|2026-05-08T04:39:14Z|Backend service for activity logging.|PowerShell|false|false
activelog-claude|2025-08-19T18:59:36Z|2026-05-08T04:39:29Z|Activity Log plugin for Claude.|Python|false|false
ActiveLog-MVP|2026-01-10T01:03:28Z|2026-04-14T10:29:35Z|ActiveLog MVP - Activity tracking and logging application|N/A|false|false
ActiveLog-TechnicalRepo|2026-01-10T00:58:06Z|2026-04-14T10:29:38Z|ActiveLog technical repository - Core implementation and technical documentation|N/A|false|false
active-probe|2026-05-17T00:58:06Z|2026-05-17T00:58:09Z|active-probe|Python|false|false
actor-rs|2026-01-09T19:35:16Z|2026-04-14T10:31:44Z|Actor model implementation for Rust - Type-safe distributed actors, supervision trees, message passing|N/A|false|false
actualization-harbor|2026-04-20T06:56:13Z|2026-05-08T11:58:13Z|Actualization Harbor|Python|false|false
actualize|2026-03-16T07:50:14Z|2026-04-14T10:19:18Z|Tool to transform ideas into reality.|N/A|false|false
adaptive-plato-early-version|2026-05-13T17:36:41Z|2026-05-14T00:11:44Z|[ARCHIVED] Early adaptive PLATO experiment. See SuperInstance/plato-sdk v3.0.0 for tile lifecycle + simulation-first.|Python|false|true
aesop-mcp|2026-05-11T10:55:22Z|2026-05-11T10:56:54Z|10 fables to find the truth in the negative space — pre-language meaning through association. Maps fleet events to archetypes, finds convergence, surfaces gaps.|Python|false|false
agent|2025-08-16T21:55:07Z|2026-04-14T10:31:32Z|Core agent framework — perception, reasoning, action loop implementation|Python|false|false
agent-bootcamp|2026-04-13T23:59:54Z|2026-05-09T12:20:35Z|Spiral bootcamp for git-agents — challenges adapt to weaknesses, dojo pits agent against variants of itself|Python|false|false
agent-coordinator|2026-01-10T21:18:28Z|2026-05-09T12:16:12Z|Multi-agent coordination framework for managing teams of AI agents with task distribution, inter-agent messaging, and health monitoring|Python|false|false
agent-field|2026-05-21T00:51:02Z|2026-05-21T00:51:06Z|Extracted from plato-training|Python|false|false
agent-forge|2026-04-13T23:21:17Z|2026-05-09T12:18:59Z|Universal standalone git-agent framework. Download, onboard, work. Your repo is your brain, your commits are your story.|TypeScript|false|false
agent-grid|2026-01-09T19:56:03Z|2026-04-14T10:27:03Z|Grid-based interface for AI agents.|TypeScript|false|false
agentic-compiler|2026-04-09T15:30:21Z|2026-05-08T04:26:52Z|Markdown-to-runtime agentic compilation — swarm deliberation, A/B experimentation, git-native evolution. Part of the Lucineer ecosystem.|Python|true|false
Agent-Lifecycle-Registry|2026-01-08T09:43:50Z|2026-05-07T22:07:02Z|Design document only — not yet implemented. Spec for agent lifecycle tracking.|N/A|false|false
agent-skills|2026-04-12T06:45:39Z|2026-05-09T12:16:33Z|📦 Installable agent skills — smart applications any agent can drop into a project, customize, and improve through feedback|N/A|false|false
agent-skills-affyossmani|2026-04-21T19:12:54Z|2026-04-21T06:34:32Z|Production-grade engineering skills for AI coding agents.|Shell|true|false
ai-character-integrations|2026-01-10T21:18:16Z|2026-05-09T12:22:57Z|Comprehensive integration examples for AI Character SDK and related tools|Python|false|false
ai-character-sdk|2026-01-10T21:20:00Z|2026-05-09T12:19:15Z|Unified AI Character SDK combining escalation engine, hierarchical memory, and learning into a simple intuitive API|Python|false|false
ai-forest|2026-05-12T08:16:24Z|2026-05-13T04:01:29Z|AI Forest — layered agent ecology. Canopy strategists, understory specialists, forest floor workers, mycelial PLATO network. Evolved from flat pasture to deep interconnected forest.|Python|false|false
AIR|2026-03-18T04:33:54Z|2026-05-18T21:15:21Z|Asynchronous Infinite Radio - Nightly Synthesis (locally) for morning briefing or Real-time interactive learning or simulations or ideation. Build a wiki as you chat|Python|false|false
ai-ranch|2026-03-25T15:02:31Z|2026-04-14T10:25:55Z|Self-Evolving AI Agent System - A Next.js implementation of the SuperInstance architecture|Python|false|false
AI-Smart-Notifications|2026-01-08T09:55:38Z|2026-04-14T10:19:54Z|Intelligent AI notification system.|N/A|false|false
ai-token-counter|2026-01-09T19:29:09Z|2026-04-14T10:27:04Z|Token usage counter for AI models.|Python|false|false
AI-Writings|2026-03-08T19:04:40Z|2026-05-20T07:59:51Z|A collection of writings by my AI when I tell it to take a break and imagine my projects stories|Python|false|false
allocator-rs|2026-01-09T19:35:17Z|2026-04-14T10:31:46Z|Memory allocation strategies - Pool allocators, arena allocators, custom allocators|N/A|false|false
amplify-fishingtool|2025-08-12T21:39:20Z|2026-05-08T04:39:33Z|a system for commercial fisherman. more coming soon|TypeScript|false|false
ap-compiler|2026-04-13T21:12:02Z|2026-04-14T10:17:59Z|Abstraction Planes Compiler Toolkit — decompose intent to optimal plane|N/A|false|false
api-doc-generator|2026-01-10T01:25:28Z|2026-04-14T10:29:09Z|Automatic API documentation generator from source code analysis|N/A|false|false
