terax-ai|2026-05-18T04:49:23Z|2026-05-18T15:07:37Z|Lightweight (7MB) AI terminal emulator (ADE) built in Rust & Tauri & React|TypeScript|true|false
plugin-runtime|2026-05-18T07:26:52Z|2026-05-18T08:16:21Z|Plugin runtime for OpenShell — sandboxed execution and lifecycle|Python|false|false
watch-follow|2026-05-18T07:35:34Z|2026-05-18T08:16:20Z|Watch-and-follow pattern for agent observation and learning|Python|false|false
crab|2026-05-18T07:35:27Z|2026-05-18T08:16:19Z|Hermit crab agent shell — agents find repos, grow, move shells|Python|false|false
fleet-neofetch|2026-05-18T07:35:30Z|2026-05-18T08:16:18Z|Fleet system info at a glance — neofetch for agent fleets|Python|false|false
MemEye|2026-05-18T04:20:16Z|2026-05-18T08:16:02Z|MemEye: A Visual-Centric Evaluation Framework for Multimodal Agent Memory|Python|true|false
construct|2026-05-16T02:56:48Z|2026-05-18T07:40:08Z|The Construct — blank PLATO shell for any agent|Python|false|false
shell-ui|2026-05-18T05:37:42Z|2026-05-18T07:39:10Z|Browser-based fleet dashboard and shell UI|HTML|false|false
superinstance-wiki|2026-05-09T23:39:55Z|2026-05-18T06:33:00Z|The fleet's knowledge base — catalog, indexes, and visual exploration of all SuperInstance repositories|HTML|false|false
terax-fleet-modules|2026-05-18T05:37:43Z|2026-05-18T06:26:09Z|Terax fleet TypeScript modules — PLATO bridge, casting-call|TypeScript|false|false
plato-visual-mesh-mcp|2026-05-18T05:37:40Z|2026-05-18T06:24:48Z|MCP tools for visual memory mesh queries|Python|false|false
openarm|2026-05-08T21:50:40Z|2026-05-18T05:46:06Z|A fully open-source humanoid arm for physical AI research and deployment in contact-rich environments.|MDX|true|false
openhuman|2026-05-18T05:31:23Z|2026-05-18T05:45:52Z|Your Personal AI super intelligence. Private, Simple and extremely powerful.|Rust|true|false
casting-call|2026-05-07T22:29:13Z|2026-05-18T04:32:31Z|Which model plays which role — fleet knowledge base of LLM capabilities, failure modes, and casting decisions. Agents consult this before choosing shells.|N/A|false|false
flux-index|2026-05-14T05:34:38Z|2026-05-18T02:40:30Z|Semantic code search, zero dependencies. Spring-load any repo into a searchable vector space.|Python|false|false
plato-twin-maker-reports|2026-05-18T02:12:49Z|2026-05-18T02:14:38Z|External testing report for plato-twin-maker: bugs, fixes, and improvement roadmap|N/A|false|false
terrain|2026-05-12T03:45:09Z|2026-05-18T02:05:57Z|MUD-to-Visual bridge — rooms as explorable scenes. Crabs stir the mud into walkable terrain.|Python|false|false
servo-mind|2026-05-16T16:26:07Z|2026-05-18T02:05:56Z|Self-learning constraint system for PLATO tiles — the encoder feedback processor|Python|false|false
incubator|2026-05-16T18:21:11Z|2026-05-18T02:05:45Z|The system that provisions mitochondrial energy to a developing embryo until it can fly — zygote to fledgling|Python|false|false
galois-retrieval|2026-05-13T18:46:11Z|2026-05-18T02:05:44Z|Galois connection-based retrieval experiments for PLATO tile matching — constructive verification of adjoint retrieval.|Python|false|false
